Date,Social Volume,Social Volume AI,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total)
2010-12-11T00:00:00.000Z,75,251,9.588402688503265,5.4601051807403564,
2010-12-12T00:00:00.000Z,83,182,8.226954221725464,3.9355984330177307,
2010-12-13T00:00:00.000Z,98,190,15.068156361579895,8.82062029838562,
2010-12-14T00:00:00.000Z,88,145,7.2594833970069885,3.457056939601898,
2010-12-15T00:00:00.000Z,89,219,10.177762269973755,4.7361637353897095,
2010-12-16T00:00:00.000Z,82,201,8.179360210895538,2.9398643374443054,
2010-12-17T00:00:00.000Z,105,199,11.996339321136475,1.4690001606941223,
2010-12-18T00:00:00.000Z,79,185,12.21903657913208,7.124107301235199,
2010-12-19T00:00:00.000Z,58,119,6.639982581138611,2.136479437351227,
2010-12-20T00:00:00.000Z,83,182,8.054807484149933,4.843551456928253,
2010-12-21T00:00:00.000Z,60,118,3.940134108066559,6.6180179715156555,
2010-12-22T00:00:00.000Z,42,82,6.5982778668403625,0.7130395770072937,
2010-12-23T00:00:00.000Z,61,136,6.089501917362213,7.249461233615875,
2010-12-24T00:00:00.000Z,71,166,5.105953276157379,6.387946724891663,
2010-12-25T00:00:00.000Z,30,99,4.241593539714813,0.8026111125946045,
2010-12-26T00:00:00.000Z,49,138,6.829953730106354,2.562853753566742,
2010-12-27T00:00:00.000Z,70,223,9.122162640094757,3.520557940006256,
2010-12-28T00:00:00.000Z,111,286,14.850445985794067,12.446764290332794,
2010-12-29T00:00:00.000Z,66,164,8.905258238315582,1.6237468123435974,
2010-12-30T00:00:00.000Z,93,234,12.12136685848236,7.588351488113403,
2010-12-31T00:00:00.000Z,45,122,5.797004997730255,0.8458291292190552,
2011-01-01T00:00:00.000Z,56,123,8.152239501476288,2.401362895965576,
2011-01-02T00:00:00.000Z,37,68,7.031586110591888,1.553291380405426,
2011-01-03T00:00:00.000Z,52,110,8.393084347248077,4.155602931976318,
2011-01-04T00:00:00.000Z,56,93,10.875616192817688,1.5027900338172913,
2011-01-05T00:00:00.000Z,59,168,6.657944560050964,4.109959125518799,
2011-01-06T00:00:00.000Z,45,112,7.396084427833557,5.543600857257843,
2011-01-07T00:00:00.000Z,87,243,20.848969995975494,1.6298434734344482,
2011-01-08T00:00:00.000Z,75,119,15.401418209075928,5.552972972393036,
2011-01-09T00:00:00.000Z,81,195,11.954454064369202,3.030284583568573,
2011-01-10T00:00:00.000Z,76,242,12.353347718715668,5.003280162811279,
2011-01-11T00:00:00.000Z,74,240,8.394188046455383,1.7605193853378296,
2011-01-12T00:00:00.000Z,46,100,7.653297424316406,3.1429403424263,
2011-01-13T00:00:00.000Z,72,158,14.079767346382141,0.7975786328315735,
2011-01-14T00:00:00.000Z,77,180,12.28855985403061,5.01877635717392,
2011-01-15T00:00:00.000Z,73,186,4.086302220821381,4.682519376277924,
2011-01-16T00:00:00.000Z,75,168,10.789868414402008,4.975676238536835,
