"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"09.12.2021","743,61","748,33","749,02","743,61","-","-0,60%"
"08.12.2021","748,11","745,57","748,85","745,36","-","0,39%"
"07.12.2021","745,21","730,09","746,09","730,08","-","2,10%"
"06.12.2021","729,85","724,60","731,94","723,29","-","0,78%"
"03.12.2021","724,18","729,94","733,57","720,18","-","-0,81%"
"02.12.2021","730,10","724,20","731,71","722,58","-","0,75%"
"01.12.2021","724,65","727,78","739,86","723,89","-","-0,26%"
"30.11.2021","726,53","738,62","739,52","726,53","-","-1,58%"
"29.11.2021","738,18","733,01","740,11","731,75","-","0,63%"
"26.11.2021","733,53","749,93","749,95","732,43","-","-2,24%"
"25.11.2021","750,30","749,39","750,59","749,34","-","0,13%"
"24.11.2021","749,30","749,27","749,55","743,91","-","0,01%"
"23.11.2021","749,20","750,27","751,23","745,04","-","-0,18%"
"22.11.2021","750,57","754,35","757,52","750,16","-","-0,58%"
"19.11.2021","754,92","756,82","757,13","754,27","-","-0,22%"
"18.11.2021","756,58","756,63","757,39","753,22","-","0,03%"
"17.11.2021","756,35","758,43","758,46","756,11","-","-0,27%"
"16.11.2021","758,43","758,43","758,43","758,43","-","0,13%"
"15.11.2021","757,47","756,92","758,93","756,24","-","0,08%"
"12.11.2021","756,83","751,66","757,43","751,61","-","0,64%"
"11.11.2021","752,02","750,71","753,39","750,04","-","0,07%"
"10.11.2021","751,46","756,94","757,02","749,29","-","-0,71%"
"09.11.2021","756,81","758,52","759,80","755,24","-","-0,22%"
"08.11.2021","758,49","758,52","758,52","758,46","-","0,18%"
"05.11.2021","757,13","755,78","759,45","754,97","-","0,17%"
"04.11.2021","755,85","753,47","756,50","753,46","-","0,39%"
"03.11.2021","752,89","749,55","753,77","748,11","-","0,45%"
"02.11.2021","749,53","748,26","750,11","747,91","-","0,14%"
"01.11.2021","748,50","744,94","748,64","744,87","-","0,44%"
"29.10.2021","745,23","747,01","747,08","742,11","-","-0,23%"
"28.10.2021","746,98","741,78","747,08","740,76","-","0,71%"
"27.10.2021","741,75","745,82","746,15","741,71","-","-0,55%"
"26.10.2021","745,84","744,27","748,87","744,26","-","0,20%"
"25.10.2021","744,35","742,18","745,07","740,91","-","0,28%"
"22.10.2021","742,26","742,04","744,52","739,88","-","-0,03%"
"21.10.2021","742,49","742,13","742,51","740,06","-","0,06%"
"20.10.2021","742,08","739,20","742,61","739,16","-","0,38%"
"19.10.2021","739,24","733,93","739,38","733,91","-","0,73%"
"18.10.2021","733,85","732,87","734,08","729,21","-","0,12%"
"15.10.2021","732,95","727,08","733,15","726,99","-","0,87%"
"14.10.2021","726,63","717,25","726,96","717,25","-","1,38%"
"13.10.2021","716,73","712,96","717,80","712,60","-","0,48%"
"12.10.2021","713,31","715,08","715,55","712,38","-","-0,31%"
"11.10.2021","715,55","717,20","721,11","715,06","-","-0,27%"
"08.10.2021","717,49","718,10","720,04","716,77","-","-0,05%"
"07.10.2021","717,83","709,90","720,90","709,90","-","1,15%"
"06.10.2021","709,69","710,49","711,12","701,58","-","-0,10%"
"05.10.2021","710,38","705,37","712,80","703,05","-","0,69%"
"04.10.2021","705,53","712,86","713,43","703,18","-","-0,97%"
"01.10.2021","712,44","709,54","714,45","705,27","-","0,41%"
"30.09.2021","709,51","713,69","716,92","709,51","-","-0,63%"
"29.09.2021","713,99","715,45","717,32","712,82","-","-0,21%"
"28.09.2021","715,46","728,93","729,00","714,79","-","-1,85%"
"27.09.2021","728,96","730,54","731,64","727,64","-","-0,21%"
"24.09.2021","730,46","731,59","732,39","728,37","-","-0,15%"
"23.09.2021","731,56","723,55","733,10","723,39","-","1,01%"
"22.09.2021","724,24","718,84","726,79","718,08","-","0,73%"
"21.09.2021","719,02","717,70","723,37","716,67","-","0,13%"
"20.09.2021","718,09","729,66","729,66","712,44","-","-1,63%"
"17.09.2021","729,99","735,26","736,78","729,15","-","-0,71%"
"16.09.2021","735,21","737,35","737,42","732,15","-","-0,25%"
"15.09.2021","737,08","734,58","737,74","732,92","-","0,26%"
"14.09.2021","735,17","737,75","740,14","734,14","-","-0,33%"
"13.09.2021","737,62","736,71","740,42","735,18","-","0,05%"
"10.09.2021","737,28","739,74","744,36","736,77","-","-0,31%"
"09.09.2021","739,58","742,64","743,50","739,58","-","-0,43%"
"08.09.2021","742,77","745,77","746,40","740,58","-","-0,44%"
"07.09.2021","746,07","748,66","749,16","745,34","-","-0,29%"
"06.09.2021","748,21","746,67","748,40","746,55","-","0,23%"
"03.09.2021","746,46","745,83","747,17","744,59","-","0,11%"
"02.09.2021","745,67","743,43","746,33","743,04","-","0,27%"
"01.09.2021","743,67","741,37","745,57","740,88","-","0,32%"
"31.08.2021","741,27","740,54","743,06","739,87","-","0,06%"
"30.08.2021","740,79","738,03","741,62","737,73","-","0,48%"
"27.08.2021","737,24","731,61","738,02","731,19","-","0,72%"
"26.08.2021","731,94","736,32","736,37","731,67","-","-0,52%"
"25.08.2021","735,79","734,61","736,66","734,15","-","0,16%"
"24.08.2021","734,64","730,93","735,22","730,93","-","0,57%"
"23.08.2021","730,48","723,30","731,62","723,30","-","1,09%"
"20.08.2021","722,58","719,58","723,16","717,66","-","0,38%"
"19.08.2021","719,88","724,32","724,33","716,64","-","-0,70%"
"18.08.2021","724,93","728,92","730,20","724,61","-","-0,58%"
"17.08.2021","729,13","734,74","734,83","725,78","-","-0,77%"
"16.08.2021","734,78","736,02","736,06","730,14","-","-0,17%"
"13.08.2021","736,02","734,77","736,34","733,93","-","0,17%"
"12.08.2021","734,75","734,28","734,75","732,07","-","0,10%"
"11.08.2021","734,01","732,16","734,62","731,78","-","0,27%"
"10.08.2021","732,02","731,15","733,22","730,81","-","0,13%"
"09.08.2021","731,10","731,03","731,85","730,24","-","-0,01%"
"06.08.2021","731,19","732,27","732,66","730,44","-","-0,19%"
"05.08.2021","732,57","729,36","732,57","728,98","-","0,43%"
"04.08.2021","729,43","730,45","731,88","728,90","-","-0,10%"
"03.08.2021","730,15","726,41","730,39","724,71","-","0,45%"
"02.08.2021","726,88","724,59","729,90","724,56","-","0,37%"
"30.07.2021","724,21","729,70","729,72","723,47","-","-0,75%"
"29.07.2021","729,68","724,70","730,94","724,67","-","0,84%"
"28.07.2021","723,61","721,95","725,68","720,88","-","0,17%"
"27.07.2021","722,41","726,94","727,21","719,15","-","-0,59%"
"26.07.2021","726,67","727,67","728,01","724,95","-","-0,06%"
"23.07.2021","727,13","722,67","727,52","721,90","-","0,60%"
"22.07.2021","722,80","720,27","722,98","720,25","-","0,42%"
"21.07.2021","719,79","714,15","720,29","713,45","-","0,91%"
"20.07.2021","713,30","706,72","715,16","705,66","-","0,83%"
"19.07.2021","707,42","718,60","718,60","704,54","-","-1,63%"
"16.07.2021","719,17","723,23","724,40","718,45","-","-0,62%"
"15.07.2021","723,66","726,24","726,72","721,17","-","-0,33%"
"14.07.2021","726,09","725,32","728,77","724,99","-","-0,03%"
"13.07.2021","726,33","727,60","728,77","725,35","-","-0,14%"
"12.07.2021","727,33","724,27","727,35","724,27","-","0,52%"
"09.07.2021","723,60","716,56","724,14","714,74","-","0,91%"
"08.07.2021","717,06","724,48","724,58","713,00","-","-1,01%"
"07.07.2021","724,41","722,73","725,18","720,92","-","0,15%"
"06.07.2021","723,35","725,56","726,11","719,80","-","-0,28%"
"05.07.2021","725,38","725,14","725,55","724,40","-","0,10%"
