"DateTime","Number of Large Transactions","Price"
"2014-09-26 00:00:00",184,408.06
"2014-09-27 00:00:00",170,400.88
"2014-09-28 00:00:00",172,388.2
"2014-09-29 00:00:00",229,380.95
"2014-09-30 00:00:00",153,384.96
"2014-10-01 00:00:00",165,388.12
"2014-10-02 00:00:00",139,378.4
"2014-10-03 00:00:00",321,370.52
"2014-10-04 00:00:00",275,348.49
"2014-10-05 00:00:00",385,319.59
"2014-10-06 00:00:00",413,325.5
"2014-10-07 00:00:00",299,333.63
"2014-10-08 00:00:00",324,338.54
"2014-10-09 00:00:00",422,366.09
"2014-10-10 00:00:00",527,365.73
"2014-10-11 00:00:00",251,360.32
"2014-10-12 00:00:00",144,363.41
"2014-10-13 00:00:00",227,378.63
"2014-10-14 00:00:00",250,396.73
"2014-10-15 00:00:00",246,393.05
"2014-10-16 00:00:00",288,385.2
"2014-10-17 00:00:00",283,378.59
"2014-10-18 00:00:00",194,384.65
"2014-10-19 00:00:00",104,389.21
"2014-10-20 00:00:00",299,383.1
"2014-10-21 00:00:00",155,382.83
"2014-10-22 00:00:00",313,380.33
"2014-10-23 00:00:00",271,367.28
"2014-10-24 00:00:00",174,356.14
"2014-10-25 00:00:00",201,349.05
"2014-10-26 00:00:00",199,350.5
"2014-10-27 00:00:00",215,350.64
"2014-10-28 00:00:00",117,352
"2014-10-29 00:00:00",218,343.78
"2014-10-30 00:00:00",109,341.91
"2014-10-31 00:00:00",105,342.03
"2014-11-01 00:00:00",183,329.87
"2014-11-02 00:00:00",51,324.78
"2014-11-03 00:00:00",99,327.26
"2014-11-04 00:00:00",267,324.43
"2014-11-05 00:00:00",341,334.25
"2014-11-06 00:00:00",250,343.44
"2014-11-07 00:00:00",286,345.9
"2014-11-08 00:00:00",146,343.05
"2014-11-09 00:00:00",196,352
"2014-11-10 00:00:00",382,365.64
"2014-11-11 00:00:00",225,366.43
"2014-11-12 00:00:00",617,404.27
"2014-11-13 00:00:00",946,435.67
"2014-11-14 00:00:00",499,406.09
"2014-11-15 00:00:00",431,387.65
"2014-11-16 00:00:00",262,380.45
"2014-11-17 00:00:00",381,395.33
"2014-11-18 00:00:00",380,383.45
"2014-11-19 00:00:00",220,381.78
"2014-11-20 00:00:00",391,369.07
"2014-11-21 00:00:00",672,351.27
"2014-11-22 00:00:00",156,357.36
"2014-11-23 00:00:00",143,361.62
"2014-11-24 00:00:00",298,375.32
"2014-11-25 00:00:00",525,383.19
"2014-11-26 00:00:00",294,371.13
"2014-11-27 00:00:00",205,369.62
"2014-11-28 00:00:00",463,370.81
"2014-11-29 00:00:00",331,380.76
"2014-11-30 00:00:00",148,376.82
"2014-12-01 00:00:00",306,378.3
"2014-12-02 00:00:00",317,380.12
"2014-12-03 00:00:00",385,379.16
"2014-12-04 00:00:00",268,373.34
"2014-12-05 00:00:00",345,373.04
"2014-12-06 00:00:00",256,376.19
"2014-12-07 00:00:00",242,375.17
"2014-12-08 00:00:00",394,370.98
"2014-12-09 00:00:00",461,354.59
"2014-12-10 00:00:00",204,349.58
"2014-12-11 00:00:00",349,352.47
"2014-12-12 00:00:00",243,351.22
"2014-12-13 00:00:00",283,348.46
"2014-12-14 00:00:00",113,348.1
"2014-12-15 00:00:00",243,347.39
"2014-12-16 00:00:00",344,337.67
"2014-12-17 00:00:00",379,324.99
"2014-12-18 00:00:00",500,314.51
"2014-12-19 00:00:00",265,313.3
"2014-12-20 00:00:00",220,324.34
"2014-12-21 00:00:00",67,326.08
"2014-12-22 00:00:00",305,327.58
"2014-12-23 00:00:00",345,333.66
"2014-12-24 00:00:00",260,328.47
"2014-12-25 00:00:00",195,319.84
"2014-12-26 00:00:00",222,324.62
"2014-12-27 00:00:00",240,321.34
"2014-12-28 00:00:00",159,316.67
"2014-12-29 00:00:00",249,314.95
"2014-12-30 00:00:00",240,312.72
"2014-12-31 00:00:00",301,313.99
"2015-01-01 00:00:00",101,317.45
"2015-01-02 00:00:00",157,314.74
"2015-01-03 00:00:00",291,300.36
"2015-01-04 00:00:00",429,272.9
"2015-01-05 00:00:00",341,270.61
"2015-01-06 00:00:00",429,278.32
"2015-01-07 00:00:00",478,288.4
"2015-01-08 00:00:00",366,285.85
"2015-01-09 00:00:00",331,283.93
"2015-01-10 00:00:00",278,280.62
"2015-01-11 00:00:00",351,270.89
"2015-01-12 00:00:00",316,268.19
"2015-01-13 00:00:00",697,243.1
"2015-01-14 00:00:00",552,194.08
"2015-01-15 00:00:00",421,197.91
"2015-01-16 00:00:00",507,210.68
