"DateTime","Netflow","Price"
"2018-06-24 00:00:00",6180.96,6018.08
"2018-06-25 00:00:00",-33.734298,6219.85
"2018-06-26 00:00:00",1414.63,6176.92
"2018-06-27 00:00:00",47355.01,6106.9
"2018-06-28 00:00:00",1985.32,6008.25
"2018-06-29 00:00:00",476.89,6049.85
"2018-06-30 00:00:00",4750.01,6348.92
"2018-07-01 00:00:00",86816.23,6346.11
"2018-07-02 00:00:00",2567.58,6105.79
"2018-07-03 00:00:00",-13842.591954,6571.89
"2018-07-04 00:00:00",-4743.854802,6594.55
"2018-07-05 00:00:00",816.15,6569.78
"2018-07-06 00:00:00",-769.622224,6545.79
"2018-07-07 00:00:00",0.001415,6666.33
"2018-07-08 00:00:00",0,6733.5
"2018-07-09 00:00:00",2092,6714.34
"2018-07-10 00:00:00",524,6480.42
"2018-07-11 00:00:00",3113.81,6349.64
"2018-07-12 00:00:00",799,6239.47
"2018-07-13 00:00:00",-1329.091347,6240.38
"2018-07-14 00:00:00",2072,6261.32
"2018-07-15 00:00:00",775,6323.63
"2018-07-16 00:00:00",1604.4,6555.84
"2018-07-17 00:00:00",2495.18,7076.9
"2018-07-18 00:00:00",473.78,7422.18
"2018-07-19 00:00:00",1301.63,7426.8
"2018-07-20 00:00:00",3053.1,7477.95
"2018-07-21 00:00:00",-2040,7336.72
"2018-07-22 00:00:00",40,7457.27
"2018-07-23 00:00:00",1421.67,7587.63
"2018-07-24 00:00:00",-1627.203218,8088.94
"2018-07-25 00:00:00",-3592.188958,8271.09
"2018-07-26 00:00:00",-1695.058463,8082.46
"2018-07-27 00:00:00",-591.678407,8042.13
"2018-07-28 00:00:00",2324.25,8154.04
"2018-07-29 00:00:00",-610.220861,8207.54
"2018-07-30 00:00:00",119.74,8070.53
"2018-07-31 00:00:00",10729.14,7919.99
"2018-08-01 00:00:00",140,7605.03
"2018-08-02 00:00:00",10821.42,7592.09
"2018-08-03 00:00:00",11173.3,7419.63
"2018-08-04 00:00:00",1474.88,7215.52
"2018-08-05 00:00:00",-972.379034,6995.42
"2018-08-06 00:00:00",-92.280786,7007.59
"2018-08-07 00:00:00",-895.524106,6917.94
"2018-08-08 00:00:00",11853.57,6428.51
"2018-08-09 00:00:00",-2277.43104,6413.13
"2018-08-10 00:00:00",-6324.734125,6304.03
"2018-08-11 00:00:00",2274.74,6251.41
"2018-08-12 00:00:00",1777.91,6330.14
"2018-08-13 00:00:00",1908.12,6351.03
"2018-08-14 00:00:00",15580.43,6079.19
"2018-08-15 00:00:00",-9372.608758,6406.85
"2018-08-16 00:00:00",2856.04,6347.7
"2018-08-17 00:00:00",3424.76,6447.59
"2018-08-18 00:00:00",1636.5,6472.3
"2018-08-19 00:00:00",0,6445.72
"2018-08-20 00:00:00",1404.61,6392.97
"2018-08-21 00:00:00",459.96,6383.25
"2018-08-22 00:00:00",5086.82,6577.57
"2018-08-23 00:00:00",-1404.446022,6466.12
"2018-08-24 00:00:00",2210.54,6609.3
"2018-08-25 00:00:00",-1525.543976,6746.54
"2018-08-26 00:00:00",1297.38,6690.83
"2018-08-27 00:00:00",1271.82,6809.53
"2018-08-28 00:00:00",19181.91,7006.96
"2018-08-29 00:00:00",-713.535542,7041.12
"2018-08-30 00:00:00",5623.34,6945.67
"2018-08-31 00:00:00",2615.24,6999.91
"2018-09-01 00:00:00",1530.38,7148.81
"2018-09-02 00:00:00",8732.58,7264.55
"2018-09-03 00:00:00",6936.49,7277.74
"2018-09-04 00:00:00",5462.59,7332.21
"2018-09-05 00:00:00",12099,7047.75
"2018-09-06 00:00:00",3619.71,6511.15
"2018-09-07 00:00:00",174.67,6447.44
"2018-09-08 00:00:00",50,6307.67
"2018-09-09 00:00:00",-12198.565834,6306.54
"2018-09-10 00:00:00",-4915.002385,6309.53
"2018-09-11 00:00:00",-9965.006109,6307.35
"2018-09-12 00:00:00",-2512.030105,6283.09
"2018-09-13 00:00:00",1621.67,6435.99
"2018-09-14 00:00:00",516.11,6492.72
"2018-09-15 00:00:00",349.27,6523.33
"2018-09-16 00:00:00",0,6464.68
"2018-09-17 00:00:00",1266,6377.83
"2018-09-18 00:00:00",-2000.002246,6315.82
"2018-09-19 00:00:00",-3000.002349,6326.96
"2018-09-20 00:00:00",-16.011611,6456.63
"2018-09-21 00:00:00",4036.06,6643.12
"2018-09-22 00:00:00",501,6733.75
"2018-09-23 00:00:00",-1000.001183,6716.23
"2018-09-24 00:00:00",0.000221,6637.71
"2018-09-25 00:00:00",-3499.850429,6458.38
"2018-09-26 00:00:00",1911.02,6463.54
"2018-09-27 00:00:00",756.96,6584.35
"2018-09-28 00:00:00",32.73,6675.76
"2018-09-29 00:00:00",-458.553174,6554.83
"2018-09-30 00:00:00",-886.671206,6642.82
"2018-10-01 00:00:00",-2886.708456,6586.57
"2018-10-02 00:00:00",-2799.508798,6548.5
"2018-10-03 00:00:00",-3789.62433,6483.03
"2018-10-04 00:00:00",-3326.783283,6554.59
"2018-10-05 00:00:00",-553.955636,6615.27
"2018-10-06 00:00:00",-1766.119802,6600.17
"2018-10-07 00:00:00",-620.501742,6578.76
"2018-10-08 00:00:00",1026.55,6631.66
"2018-10-09 00:00:00",944.26,6623.2
"2018-10-10 00:00:00",4375.21,6560.54
"2018-10-11 00:00:00",17852.55,6376.77
"2018-10-12 00:00:00",-3802.372804,6235.21
