"DateTime","Price",">5y","3y-5y","2y-3y","18m-24m","12m-18m","6m-12m","3m-6m","1m-3m","1w-1m","1d-1w","<1d"
"2009-05-28 00:00:00",,0,0,0,0,0,0,290200,336850.00000000006,136100,27300,4750
"2009-05-29 00:00:00",,0,0,0,0,0,0,295400,338650,130049.99999999999,28100,8300
"2009-05-30 00:00:00",,0,0,0,0,0,0,300150.00000000006,340050.00000000006,125450,34850,5450
"2009-05-31 00:00:00",,0,0,0,0,0,0,305100,340750.00000000006,124550,35550,4800
"2009-06-01 00:00:00",,0,0,0,0,0,0,310200,342250,123150.00000000001,35100,3600
"2009-06-02 00:00:00",,0,0,0,0,0,0,316149.99999999994,341400,124100,32650,5550
"2009-06-03 00:00:00",,0,0,0,0,0,0,321499.99999999994,343600,122300.00000000001,32450,3550
"2009-06-04 00:00:00",,0,0,0,0,0,0,326500,345650,120000.00000000001,31250,3300
"2009-06-05 00:00:00",,0,0,0,0,0,0,331300.00000000006,347400,121750.00000000001,26250,1500
"2009-06-06 00:00:00",,0,0,0,0,0,0,337750.0000000001,347050,121100,22300.000000000004,1400
"2009-06-07 00:00:00",,0,0,0,0,0,0,342550,347550,120600,18900,800
"2009-06-08 00:00:00",,0,0,0,0,0,0,347450,346400,120450.00000000001,16100,4100
"2009-06-09 00:00:00",,0,0,0,0,0,0,352800,345200,121850,14650,4550
"2009-06-10 00:00:00",,0,0,0,0,0,0,358350.00000000006,345750,119300,15650,4100
"2009-06-11 00:00:00",,0,0,0,0,0,0,364500,346100,116100,16450,4450
"2009-06-12 00:00:00",,0,0,0,0,0,0,369950.00000000006,346249.99999999994,112000,19400,4300
"2009-06-13 00:00:00",,0,0,0,0,0,0,375900,347300,106400.00000000001,22300,3900
"2009-06-14 00:00:00",,0,0,0,0,0,0,384100,345949.99999999994,100350,25400,3600
"2009-06-15 00:00:00",,0,0,0,0,0,0,389400.00000000006,346349.99999999994,98750.00000000001,24900,4200
"2009-06-16 00:00:00",,0,0,0,0,0,0,395500.00000000006,346400,97150,24550,3550
"2009-06-17 00:00:00",,0,0,0,0,0,0,401200,346450,95500.00000000001,24000,3950
"2009-06-18 00:00:00",,0,0,0,0,0,0,407300,344450,95850,23500,4000
"2009-06-19 00:00:00",,0,0,0,0,0,0,409250.00000000006,347999.99999999994,94650.00000000001,23200,4350
"2009-06-20 00:00:00",,0,0,0,0,0,0,415150,346000.00000000006,94650,23650,3900
"2009-06-21 00:00:00",,0,0,0,0,0,0,421400,342650,95350,23950,4050
"2009-06-22 00:00:00",,0,0,0,0,0,0,426350.00000000006,339249.99999999994,95350.00000000001,23450,6800
"2009-06-23 00:00:00",,0,0,0,0,0,0,431700.00000000006,338650,94150.00000000001,26700,3800
"2009-06-24 00:00:00",,0,0,0,0,0,0,438650.00000000006,336851.01,92800.01,26550,4898.98
"2009-06-25 00:00:00",,0,0,0,0,0,0,443400.0000000001,338101.01,90450.01,26798.98,4400
"2009-06-26 00:00:00",,0,0,0,0,0,0,449850,337401.01,88800.01000000001,27098.98,4500
"2009-06-27 00:00:00",,0,0,0,0,0,0,455300.00000000006,336601.00999999995,87850.01000000001,27898.98,4200
"2009-06-28 00:00:00",,0,0,0,0,0,0,460550,339401.01,83850.01000000001,27998.98,2350
"2009-06-29 00:00:00",,0,0,0,0,0,0,467300.00000000006,337701.01,85500.01000000001,23598.98,4200
"2009-06-30 00:00:00",,0,0,0,0,0,0,472650.00000000006,336851.01,84550.01000000001,24153.98,4345
"2009-07-01 00:00:00",,0,0,0,0,0,0,478000.00000000006,334751.02,85998.98,23700,3800
"2009-07-02 00:00:00",,0,0,0,0,0,50,483250.00000000006,335001.02,84848.98,23050,4200
"2009-07-03 00:00:00",,0,0,0,0,0,50,488450.00000000006,333351.02,85748.98000000001,22800,4100
"2009-07-04 00:00:00",,0,0,0,0,0,50,495200.00000000006,329901.02,86598.98,22750,4450
"2009-07-05 00:00:00",,0,0,0,0,0,50,500300.0000000001,326301.02,87373.98,24925,3950
"2009-07-06 00:00:00",,0,0,0,0,0,50,505050.0000000001,322951.02,90053.98,24795,4200
"2009-07-07 00:00:00",,0,0,0,0,0,50,510000.00000000006,318801.02,93548.98,24700,3450
"2009-07-08 00:00:00",,0,0,0,0,0,700,513900.0000000001,318351.02,93248.98,24350,3700
"2009-07-09 00:00:00",,0,0,0,0,0,3750,515950.00000000006,317551.02,93148.98000000001,23850,4300
"2009-07-10 00:00:00",,0,0,0,0,0,8400,516900.00000000006,315851.02,93348.98000000001,24050,4050
"2009-07-11 00:00:00",,0,0,0,0,0,13139,518411.00000000006,313751.02,93648.98,23650,4150
"2009-07-12 00:00:00",,0,0,0,0,0,18939,518211,312251.02,93498.98000000001,23850,3850
"2009-07-13 00:00:00",,0,0,0,0,0,24650,518300,310201.02,93948.98,23500,3900
"2009-07-14 00:00:00",,0,0,0,0,0,30925,517525.00000000006,308101.01999999996,93998.98,23950,3450
"2009-07-15 00:00:00",,0,0,0,0,0,36175,518225.00000000006,306101.02,93748.98000000001,23700,2250
"2009-07-16 00:00:00",,0,0,0,0,0,40925,519075.0000000001,304051.02,94498.98,21650,3550
"2009-07-17 00:00:00",,0,0,0,0,0,45975,520275.00000000006,301751.02,94598.98,21150,2350
"2009-07-18 00:00:00",,0,0,0,0,0,52000,520550.00000000006,299401.02,94798.98,19350,200
"2009-07-19 00:00:00",,0,0,0,0,0,57600,526450,292001.02,94548.98,15700,3500
"2009-07-20 00:00:00",,0,0,0,0,0,62450,527400.3300000001,289851.02,89548.98,14500,9549.67
"2009-07-21 00:00:00",,0,0,0,0,0,67150,528300.3300000001,288301.01999999996,88748.98,20799.67,4100
"2009-07-22 00:00:00",,0,0,0,0,0,71500,527450.3300000001,291501.02,84098.98000000001,22849.67,3000
"2009-07-23 00:00:00",,0,0,0,0,0,81500,522900.3300000001,289551.02,83848.98,22599.67,3800
"2009-07-24 00:00:00",,0,0,0,0,0,90600,519350.33,288650,81450,24149.67,3650
"2009-07-25 00:00:00",,0,0,0,0,0,95950,520250.3300000001,286550,77500,27599.67,1600
"2009-07-26 00:00:00",,0,0,0,0,0,100700,520650.33,285650,76750,25699.67,1050
"2009-07-27 00:00:00",,0,0,0,0,0,106000,520900.3300000001,283850,82549.67,17200,3700
"2009-07-28 00:00:00",,0,0,0,0,0,112450,521450.3300000001,279025.00000000006,84474.67,16800,2050
"2009-07-29 00:00:00",,0,0,0,0,0,117900,522150.3300000001,276555,83794.67,15750,1050
"2009-07-30 00:00:00",,0,0,0,0,0,124250,521450.3300000001,274700,83799.67,12950,800
"2009-07-31 00:00:00",,0,0,0,0,0,129800,522550.33,271750,83699.67,10150,850
"2009-08-01 00:00:00",,0,0,0,0,0,135750,521700.33,270650,81299.67,9400,1400
"2009-08-02 00:00:00",,0,0,0,0,0,142749.96000000002,522250.3700000001,266750,78599.67,9850,1150
"2009-08-03 00:00:00",,0,0,0,0,0,148399.96,523650.37,263800,78199.67,7300,600
"2009-08-04 00:00:00",,0,0,0,0,0,154499.96,524100.37,260900.00000000003,76599.67,5850,4050
"2009-08-05 00:00:00",,0,0,0,0,0,160449.96,524250.37000000005,258850.00000000003,73599.67,8850,4350
"2009-08-06 00:00:00",,0,0,0,0,0,167499.96000000005,522500.37000000005,256900,71049.67,12400,4500
"2009-08-07 00:00:00",,0,0,0,0,0,174699.96000000002,519050.37,256300,65150.14,14100,9549.529999999999
"2009-08-08 00:00:00",,0,0,0,0,0,183399.96000000002,514500.37,256050.00000000003,62200.14,22699.53,4000
"2009-08-09 00:00:00",,0,0,0,0,0,189299.96,514700.37,253750,59150.14,25949.53,5050
"2009-08-10 00:00:00",,0,0,0,0,0,196150,514350.32999999996,251050.00000000003,55700.14,30649.53,3750
"2009-08-11 00:00:00",,0,0,0,0,0,201850.00000000003,514201.33999999997,249198.99000000002,55800.14,30599.530000000002,3500
"2009-08-12 00:00:00",,0,0,0,0,0,207699.99999999997,515351.33999999997,245748.99,56250.14,30099.53,3150
"2009-08-13 00:00:00",,0,0,0,0,0,214050.00000000003,515851.34,242148.99,57250.14,28999.53,4250
"2009-08-14 00:00:00",,0,0,0,0,0,220600.00000000003,515001.34,238448.99,64799.67,23700,3150
"2009-08-15 00:00:00",,0,0,0,0,0,227800.00000000003,513951.33999999997,235548.99,65549.67,22850,1300
"2009-08-16 00:00:00",,0,0,0,0,0,233300,514201.34,231898.99,68499.67,19100,950
"2009-08-17 00:00:00",,0,0,0,0,0,239000.00000000003,512601.34,227998.99,72049.67,16300,850
"2009-08-18 00:00:00",,0,0,0,0,0,245600,511501.34,225648.99,72399.67,13650,500
"2009-08-19 00:00:00",,0,0,0,0,0,251350.00000000006,509651.34,230999.13,66299.53,11000,900
"2009-08-20 00:00:00",,0,0,0,0,0,256800.00000000006,507101.34,232049.13,66599.53,7650,1100
"2009-08-21 00:00:00",,0,0,0,0,0,262800,502651.34,233499.13,66749.53,5600,700
"2009-08-22 00:00:00",,0,0,0,0,0,267700,502501.33999999997,232249.13,64549.53,5000,350
"2009-08-23 00:00:00",,0,0,0,0,0,272850,502601.34,230449.13,62049.53,4400,750
"2009-08-24 00:00:00",,0,0,0,0,0,277850,503601.34,225849.13,61499.53,4300,750
"2009-08-25 00:00:00",,0,0,0,0,0,283000,504201.33999999997,220749.13,61349.53,4550,2500
"2009-08-26 00:00:00",,0,0,0,0,0,290200,501651.34,219549.13,56500,6150,4699.53
"2009-08-27 00:00:00",,0,0,0,0,0,295400,504501.33999999997,213149.13,55950,9749.529999999999,1450
"2009-08-28 00:00:00",,0,0,0,0,0,300150,504801.33999999997,208949.13,55800,10499.529999999999,3750
"2009-08-29 00:00:00",,0,0,0,0,0,305100,504351.34,205049.13,55550,13899.529999999999,3900
"2009-08-30 00:00:00",,0,0,0,0,0,310200.00000000006,502501.35000000003,202499.12,55600,16999.53,4900
"2009-08-31 00:00:00",,0,0,0,0,0,316100.32999999996,502151.02,197899.12,55400,20849.53,4600
"2009-09-01 00:00:00",,0,0,0,0,0,321450.3300000001,500351.02,195099.12,57150,22949.53,3900
"2009-09-02 00:00:00",,0,0,0,0,0,326450.33,498651.02,192149.12,61499.53,22150,3300
"2009-09-03 00:00:00",,0,0,0,0,0,331250.33,495351.02,194449.12,59149.53,23300,3750
"2009-09-04 00:00:00",,0,0,0,0,0,337700.33,490301.02,197049.12,58699.53,23500,3200
"2009-09-05 00:00:00",,0,0,0,0,0,342500.3300000001,486301.02,200299.12,58399.53,22950,3800
"2009-09-06 00:00:00",,0,0,0,0,0,347400.3300000001,485501.02,205149.12,53899.53,22300,3400
"2009-09-07 00:00:00",,0,0,0,0,0,352750.32999999996,484451.02,204599.12,54499.53,20700,4550
"2009-09-08 00:00:00",,0,0,0,0,0,358300.3300000001,482801.02,205299.12,53799.53,21350,3450
"2009-09-09 00:00:00",,0,0,0,0,0,364450.32999999996,480801.02,204549.12,53699.53,21500,2700
"2009-09-10 00:00:00",,0,0,0,0,0,369900.33,479451.02,203949.12,53949.53,20450,3350
"2009-09-11 00:00:00",,0,0,0,0,0,375850.32999999996,477251.02,203299.12,53749.53,20900,3350
"2009-09-12 00:00:00",,0,0,0,0,0,384050.33,472451.02,203799.12,53349.53,20750,3450
"2009-09-13 00:00:00",,0,0,0,0,0,389350.33,471101.02,202949.12,53599.53,20850,3750
"2009-09-14 00:00:00",,0,0,0,0,0,395450.32999999996,468551.02,200699.12,56849.53,20050,3700
"2009-09-15 00:00:00",,0,0,0,0,0,401150.33,466801.01999999996,197699.12,59349.53,20300,2200
"2009-09-16 00:00:00",,0,0,0,0,0,407250.3300000001,464651.02,194599.12,61198.53,19800,3601
"2009-09-17 00:00:00",,0,0,0,0,0,409200.33,466801.02,190999.12,60148.53,18901,9250
"2009-09-18 00:00:00",,0,0,0,0,0,415100.33,464601.01999999996,188199.12,62398.53,25001,3900
"2009-09-19 00:00:00",,0,0,0,0,0,421350.32999999996,462401.02,185249.12,64548.53,25651,3700
"2009-09-20 00:00:00",,0,0,0,0,0,426300.3300000001,464151.02,179249.12,67198.53,26001,3900
"2009-09-21 00:00:00",,0,0,0,0,0,431650.33,462301.02,176099.12,69998.53,26351,3850
"2009-09-22 00:00:00",,0,0,0,0,0,438600.3300000001,460000,172200.14,70548.53,26901,3250
